open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,low_hz,high_hz,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
6.0,4.0,300.0,250.0,1.0,150.0,3400.0,0.5,15,15,0.2952,1.1352,93.12,663.78,30
8.0,4.0,300.0,100.0,1.0,150.0,3400.0,0.5,15,15,0.3146,0.9473,95.79,663.83,30
8.0,4.0,300.0,250.0,1.0,150.0,3400.0,0.5,15,15,0.3146,0.9473,95.79,663.83,30
10.0,6.0,800.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.3366,1.5799,32.78,224.48,30
10.0,6.0,800.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.3366,1.5799,32.78,224.48,30
10.0,2.0,500.0,100.0,1.0,300.0,3400.0,0.5,15,15,0.3368,1.3361,38.11,465.82,30
10.0,2.0,500.0,250.0,1.0,300.0,3400.0,0.5,15,15,0.3368,1.3361,38.11,465.82,30
10.0,2.0,500.0,100.0,1.0,300.0,4000.0,0.5,15,15,0.3381,1.3361,38.11,465.82,30
10.0,2.0,500.0,250.0,1.0,300.0,4000.0,0.5,15,15,0.3381,1.3361,38.11,465.82,30
10.0,4.0,500.0,100.0,1.0,300.0,3400.0,0.5,15,15,0.3401,1.2634,38.11,467.82,30
10.0,4.0,500.0,250.0,1.0,300.0,3400.0,0.5,15,15,0.3401,1.2634,38.11,467.82,30
10.0,6.0,800.0,100.0,1.0,150.0,3400.0,0.5,15,15,0.3426,1.4879,32.78,289.15,30
10.0,6.0,800.0,250.0,1.0,150.0,3400.0,0.5,15,15,0.3426,1.4879,32.78,289.15,30
10.0,4.0,500.0,100.0,1.0,300.0,4000.0,0.5,15,15,0.3548,1.2621,38.11,467.82,30
10.0,4.0,500.0,250.0,1.0,300.0,4000.0,0.5,15,15,0.3548,1.2621,38.11,467.82,30
12.0,6.0,800.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.3659,1.3173,55.44,230.48,30
12.0,6.0,800.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.3659,1.3173,55.44,230.48,30
10.0,2.0,300.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.3993,0.91,221.89,436.51,30
10.0,2.0,300.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.3993,0.91,221.89,436.51,30
10.0,2.0,300.0,100.0,1.0,150.0,3400.0,0.5,15,15,0.4106,0.8286,221.89,436.51,30
10.0,2.0,300.0,250.0,1.0,150.0,3400.0,0.5,15,15,0.4106,0.8286,221.89,436.51,30
12.0,2.0,500.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.4359,1.1126,55.44,465.82,30
12.0,2.0,500.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.4359,1.1126,55.44,465.82,30
10.0,4.0,800.0,100.0,0.3,150.0,3400.0,0.5,15,15,0.4393,1.8906,17.56,119.06,30
10.0,4.0,800.0,100.0,0.3,150.0,4000.0,0.5,15,15,0.4393,1.8926,17.56,119.06,30
10.0,4.0,800.0,250.0,0.3,150.0,3400.0,0.5,15,15,0.4393,1.8906,17.56,119.06,30
10.0,4.0,800.0,250.0,0.3,150.0,4000.0,0.5,15,15,0.4393,1.8926,17.56,119.06,30
10.0,6.0,800.0,100.0,0.3,150.0,4000.0,0.5,15,15,0.44,1.836,17.56,119.73,30
10.0,6.0,800.0,250.0,0.3,150.0,4000.0,0.5,15,15,0.44,1.836,17.56,119.73,30
12.0,4.0,500.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.4533,1.0633,55.44,467.82,30
12.0,4.0,500.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.4533,1.0633,55.44,467.82,30
10.0,4.0,500.0,100.0,0.3,150.0,3400.0,0.5,15,15,0.4547,1.4141,18.35,381.55,30
10.0,4.0,500.0,250.0,0.3,150.0,3400.0,0.5,15,15,0.4547,1.4141,18.35,381.55,30
12.0,6.0,800.0,100.0,1.0,150.0,3400.0,0.5,15,15,0.4646,1.3153,31.04,187.55,30
12.0,6.0,800.0,250.0,1.0,150.0,3400.0,0.5,15,15,0.4646,1.3153,31.04,187.55,30
10.0,4.0,500.0,100.0,0.3,150.0,4000.0,0.5,15,15,0.4901,1.3954,18.35,381.55,30
10.0,4.0,500.0,250.0,0.3,150.0,4000.0,0.5,15,15,0.4901,1.3954,18.35,381.55,30
10.0,6.0,500.0,100.0,0.3,150.0,3400.0,0.5,15,15,0.5173,1.3366,18.35,448.96,30
10.0,6.0,500.0,100.0,0.3,150.0,4000.0,0.5,15,15,0.5173,1.32,18.35,448.96,30
10.0,6.0,500.0,250.0,0.3,150.0,3400.0,0.5,15,15,0.5173,1.3366,18.35,448.96,30
10.0,6.0,500.0,250.0,0.3,150.0,4000.0,0.5,15,15,0.5173,1.32,18.35,448.96,30
10.0,4.0,300.0,100.0,0.3,150.0,3400.0,0.5,15,15,0.5299,1.0819,172.8,346.92,30
10.0,4.0,300.0,250.0,0.3,150.0,3400.0,0.5,15,15,0.5299,1.0819,172.8,346.92,30
10.0,4.0,300.0,100.0,0.3,150.0,4000.0,0.5,15,15,0.5373,1.0779,172.8,347.58,30
10.0,4.0,300.0,250.0,0.3,150.0,4000.0,0.5,15,15,0.5373,1.0779,172.8,347.58,30
12.0,2.0,500.0,100.0,1.0,300.0,3400.0,0.5,15,15,0.5573,1.1399,35.04,384.22,30
12.0,2.0,500.0,250.0,1.0,300.0,3400.0,0.5,15,15,0.5573,1.1399,35.04,384.22,30
12.0,4.0,500.0,100.0,1.0,300.0,3400.0,0.5,15,15,0.5726,1.0746,35.04,384.89,30
12.0,4.0,500.0,250.0,1.0,300.0,3400.0,0.5,15,15,0.5726,1.0746,35.04,384.89,30
12.0,4.0,300.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.5832,0.7458,245.89,491.73,30
12.0,4.0,300.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.5832,0.7458,245.89,491.73,30
12.0,4.0,300.0,100.0,1.0,150.0,3400.0,0.5,15,15,0.6758,0.7438,93.49,528.13,30
12.0,4.0,300.0,250.0,1.0,150.0,3400.0,0.5,15,15,0.6758,0.7438,93.49,528.13,30
6.0,2.0,800.0,100.0,0.3,300.0,3400.0,0.4667,14,16,0.1115,2.5335,10.96,100.5,30
6.0,2.0,800.0,100.0,0.3,300.0,4000.0,0.4667,14,16,0.1115,2.5021,10.96,100.5,30
6.0,2.0,800.0,250.0,0.3,300.0,3400.0,0.4667,14,16,0.1115,2.5335,10.96,100.5,30
6.0,2.0,800.0,250.0,0.3,300.0,4000.0,0.4667,14,16,0.1115,2.5021,10.96,100.5,30
6.0,2.0,800.0,100.0,0.3,150.0,4000.0,0.4667,14,16,0.1219,2.5199,11.4,110.5,30
6.0,2.0,800.0,250.0,0.3,150.0,4000.0,0.4667,14,16,0.1219,2.5199,11.4,110.5,30
6.0,2.0,800.0,100.0,0.3,150.0,3400.0,0.4667,14,16,0.1266,2.5012,11.4,115.16,30
6.0,2.0,800.0,250.0,0.3,150.0,3400.0,0.4667,14,16,0.1266,2.5012,11.4,115.16,30
6.0,2.0,800.0,100.0,1.0,300.0,3400.0,0.4667,14,16,0.1325,2.1332,17.34,115.16,30
6.0,2.0,800.0,100.0,1.0,300.0,4000.0,0.4667,14,16,0.1325,2.1338,17.34,115.16,30
6.0,2.0,800.0,250.0,1.0,300.0,3400.0,0.4667,14,16,0.1325,2.1332,17.34,115.16,30
6.0,2.0,800.0,250.0,1.0,300.0,4000.0,0.4667,14,16,0.1325,2.1338,17.34,115.16,30
6.0,2.0,500.0,100.0,0.3,150.0,4000.0,0.4667,14,16,0.1385,2.0879,11.38,389.92,30
6.0,2.0,500.0,250.0,0.3,150.0,4000.0,0.4667,14,16,0.1385,2.0879,11.38,389.92,30
8.0,4.0,800.0,100.0,1.0,300.0,4000.0,0.4667,14,16,0.1445,1.8738,21.29,150.5,30
8.0,4.0,800.0,250.0,1.0,300.0,4000.0,0.4667,14,16,0.1445,1.8738,21.29,150.5,30
6.0,2.0,500.0,100.0,0.3,150.0,3400.0,0.4667,14,16,0.1499,2.0892,14.0,394.58,30
6.0,2.0,500.0,250.0,0.3,150.0,3400.0,0.4667,14,16,0.1499,2.0892,14.0,394.58,30
6.0,6.0,800.0,100.0,0.3,300.0,4000.0,0.4667,14,16,0.1541,2.2861,13.38,252.76,30
6.0,6.0,800.0,250.0,0.3,300.0,4000.0,0.4667,14,16,0.1541,2.2861,13.38,252.76,30
6.0,6.0,800.0,100.0,0.3,150.0,4000.0,0.4667,14,16,0.1555,2.2808,13.38,254.09,30
6.0,6.0,800.0,100.0,0.3,300.0,3400.0,0.4667,14,16,0.1555,2.3128,13.38,316.76,30
6.0,6.0,800.0,250.0,0.3,150.0,4000.0,0.4667,14,16,0.1555,2.2808,13.38,254.09,30
6.0,6.0,800.0,250.0,0.3,300.0,3400.0,0.4667,14,16,0.1555,2.3128,13.38,316.76,30
6.0,6.0,800.0,100.0,1.0,300.0,4000.0,0.4667,14,16,0.1753,1.9519,17.34,269.92,30
6.0,6.0,800.0,250.0,1.0,300.0,4000.0,0.4667,14,16,0.1753,1.9519,17.34,269.92,30
6.0,6.0,800.0,100.0,1.0,300.0,3400.0,0.4667,14,16,0.1766,1.9519,17.34,333.92,30
6.0,6.0,800.0,250.0,1.0,300.0,3400.0,0.4667,14,16,0.1766,1.9519,17.34,333.92,30
8.0,6.0,800.0,100.0,1.0,300.0,4000.0,0.4667,14,16,0.1872,1.7105,21.29,269.92,30
8.0,6.0,800.0,250.0,1.0,300.0,4000.0,0.4667,14,16,0.1872,1.7105,21.29,269.92,30
8.0,6.0,800.0,100.0,1.0,300.0,3400.0,0.4667,14,16,0.1919,1.7012,21.29,333.92,30
8.0,6.0,800.0,250.0,1.0,300.0,3400.0,0.4667,14,16,0.1919,1.7012,21.29,333.92,30
8.0,2.0,500.0,100.0,0.3,150.0,3400.0,0.4667,14,16,0.2152,1.8259,41.37,390.58,30
8.0,2.0,500.0,250.0,0.3,150.0,3400.0,0.4667,14,16,0.2152,1.8259,41.37,390.58,30
10.0,4.0,800.0,100.0,1.0,300.0,3400.0,0.4667,14,16,0.2357,1.7737,37.29,119.06,30
10.0,4.0,800.0,100.0,1.0,300.0,4000.0,0.4667,14,16,0.2357,1.7757,37.29,119.06,30
10.0,4.0,800.0,250.0,1.0,300.0,3400.0,0.4667,14,16,0.2357,1.7737,37.29,119.06,30
