open_margin_db,close_margin_db,peak_open_margin_db,release_ms,hold_ms,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
10.0,5.0,20.0,200.0,200.0,0.3667,11,19,0.682,0.81,507.84,393.1,30
8.0,7.0,20.0,200.0,100.0,0.3667,11,19,0.7655,0.8602,415.25,773.4,30
8.0,7.0,20.0,200.0,200.0,0.3667,11,19,0.7655,0.8602,415.25,773.4,30
10.0,7.0,20.0,200.0,100.0,0.3667,11,19,0.8989,0.7709,346.66,780.66,30
10.0,7.0,20.0,200.0,200.0,0.3667,11,19,0.8989,0.7709,346.66,780.66,30
8.0,3.0,12.0,200.0,100.0,0.3333,10,20,0.2216,1.9576,181.51,557.93,30
8.0,3.0,12.0,200.0,200.0,0.3333,10,20,0.2216,1.9576,181.51,557.93,30
10.0,3.0,12.0,200.0,100.0,0.3333,10,20,0.2216,1.9576,181.51,557.93,30
10.0,3.0,12.0,200.0,200.0,0.3333,10,20,0.2216,1.9576,181.51,557.93,30
12.0,3.0,12.0,200.0,100.0,0.3333,10,20,0.2216,1.9576,181.51,557.93,30
12.0,3.0,12.0,200.0,200.0,0.3333,10,20,0.2216,1.9576,181.51,557.93,30
15.0,3.0,12.0,200.0,100.0,0.3333,10,20,0.2216,1.9576,181.51,557.93,30
15.0,3.0,12.0,200.0,200.0,0.3333,10,20,0.2216,1.9576,181.51,557.93,30
8.0,5.0,12.0,200.0,100.0,0.3333,10,20,0.2385,1.7965,352.83,593.27,30
8.0,5.0,12.0,200.0,200.0,0.3333,10,20,0.2385,1.7965,352.83,593.27,30
10.0,5.0,12.0,200.0,100.0,0.3333,10,20,0.2385,1.7891,352.83,593.27,30
10.0,5.0,12.0,200.0,200.0,0.3333,10,20,0.2385,1.7891,352.83,593.27,30
12.0,5.0,12.0,200.0,100.0,0.3333,10,20,0.2385,1.7891,352.83,593.27,30
12.0,5.0,12.0,200.0,200.0,0.3333,10,20,0.2385,1.7891,352.83,593.27,30
