open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,attack_tc,decay_tc,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
6.0,6.0,800.0,100.0,1.0,0.02,0.6,0.4667,14,16,0.5248,1.2542,35.54,725.32,30
6.0,6.0,800.0,250.0,1.0,0.02,0.6,0.4667,14,16,0.5248,1.2542,35.54,725.32,30
6.0,6.0,500.0,100.0,0.3,0.02,0.15,0.4667,14,16,0.5334,1.1535,177.3,608.75,30
6.0,6.0,500.0,250.0,0.3,0.02,0.15,0.4667,14,16,0.5334,1.1535,177.3,608.75,30
6.0,2.0,300.0,100.0,0.3,0.05,0.15,0.4667,14,16,0.5468,0.9021,37.14,564.96,30
6.0,2.0,300.0,250.0,0.3,0.05,0.15,0.4667,14,16,0.5468,0.9021,37.14,564.96,30
6.0,6.0,800.0,100.0,0.3,0.02,0.3,0.4667,14,16,0.5521,1.4221,24.85,663.91,30
6.0,6.0,800.0,250.0,0.3,0.02,0.3,0.4667,14,16,0.5521,1.4221,24.85,663.91,30
6.0,4.0,500.0,100.0,1.0,0.02,0.6,0.4667,14,16,0.5532,1.0945,34.88,705.67,30
6.0,4.0,500.0,250.0,1.0,0.02,0.6,0.4667,14,16,0.5532,1.0945,34.88,705.67,30
8.0,4.0,800.0,100.0,0.3,0.005,0.15,0.4667,14,16,0.556,1.3874,196.9,136.48,30
8.0,4.0,800.0,250.0,0.3,0.005,0.15,0.4667,14,16,0.556,1.3874,196.9,136.48,30
8.0,6.0,500.0,100.0,1.0,0.005,0.15,0.4667,14,16,0.5679,0.9652,23.32,678.73,30
8.0,6.0,500.0,250.0,1.0,0.005,0.15,0.4667,14,16,0.5679,0.9652,23.32,678.73,30
8.0,2.0,800.0,100.0,0.3,0.005,0.6,0.4667,14,16,0.572,1.3493,20.43,196.89,30
