open_margin_db,sustain_margin_db,close_margin_db,release_ms,hold_ms,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
12.0,6.0,1.0,250.0,250.0,0.4,12,18,0.9569,0.7422,313.15,244.16,30
12.0,6.0,2.0,250.0,150.0,0.4,12,18,0.9782,0.7342,313.15,293.49,30
12.0,6.0,2.0,250.0,250.0,0.4,12,18,0.9782,0.7342,313.15,293.49,30
12.0,8.0,1.0,250.0,150.0,0.4,12,18,1.0055,0.7402,313.15,288.18,30
12.0,8.0,1.0,250.0,250.0,0.4,12,18,1.0055,0.7402,313.15,288.18,30
12.0,8.0,2.0,250.0,150.0,0.4,12,18,1.0362,0.7322,313.15,332.84,30
12.0,8.0,2.0,250.0,250.0,0.4,12,18,1.0362,0.7322,313.15,332.84,30
15.0,4.0,1.0,250.0,150.0,0.4,12,18,1.1159,0.598,195.0,236.29,30
15.0,4.0,1.0,250.0,250.0,0.4,12,18,1.1159,0.598,195.0,236.29,30
15.0,4.0,2.0,250.0,150.0,0.4,12,18,1.136,0.5907,195.0,256.33,30
15.0,4.0,2.0,250.0,250.0,0.4,12,18,1.136,0.5907,195.0,256.33,30
15.0,6.0,1.0,250.0,150.0,0.4,12,18,1.1513,0.5953,195.0,251.66,30
15.0,6.0,1.0,250.0,250.0,0.4,12,18,1.1513,0.5953,195.0,251.66,30
15.0,6.0,2.0,250.0,150.0,0.4,12,18,1.1773,0.5867,195.0,277.66,30
15.0,6.0,2.0,250.0,250.0,0.4,12,18,1.1773,0.5867,195.0,277.66,30
15.0,4.0,4.0,250.0,150.0,0.4,12,18,1.216,0.586,347.66,151.01,30
15.0,4.0,4.0,250.0,250.0,0.4,12,18,1.216,0.586,347.66,151.01,30
15.0,8.0,1.0,250.0,150.0,0.4,12,18,1.2193,0.5933,195.0,319.68,30
15.0,8.0,1.0,250.0,250.0,0.4,12,18,1.2193,0.5933,195.0,319.68,30
15.0,8.0,2.0,250.0,150.0,0.4,12,18,1.2487,0.5853,195.0,349.01,30
15.0,8.0,2.0,250.0,250.0,0.4,12,18,1.2487,0.5853,195.0,349.01,30
15.0,6.0,4.0,250.0,150.0,0.4,12,18,1.292,0.578,347.66,227.01,30
15.0,6.0,4.0,250.0,250.0,0.4,12,18,1.292,0.578,347.66,227.01,30
15.0,8.0,4.0,250.0,150.0,0.4,12,18,1.322,0.5773,347.66,272.35,30
15.0,8.0,4.0,250.0,250.0,0.4,12,18,1.322,0.5773,347.66,272.35,30
18.0,4.0,1.0,600.0,150.0,0.4,12,18,1.5087,0.8754,11.86,43.51,30
18.0,4.0,1.0,600.0,250.0,0.4,12,18,1.5087,0.8754,11.86,43.51,30
18.0,4.0,2.0,600.0,150.0,0.4,12,18,1.5087,0.8674,11.86,43.51,30
