open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,cutoff_hz,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
6.0,6.0,800.0,100.0,0.3,120.0,0.4,6,9,0.4495,1.4785,10.49,624.32,15
6.0,6.0,800.0,250.0,0.3,120.0,0.4,6,9,0.4495,1.4785,10.49,624.32,15
6.0,6.0,800.0,100.0,0.3,80.0,0.4,6,9,0.4508,1.4945,10.49,625.65,15
6.0,6.0,800.0,250.0,0.3,80.0,0.4,6,9,0.4508,1.4945,10.49,625.65,15
8.0,6.0,800.0,100.0,0.3,200.0,0.4,6,9,0.4575,1.3931,14.49,625.65,15
8.0,6.0,800.0,250.0,0.3,200.0,0.4,6,9,0.4575,1.3931,14.49,625.65,15
8.0,6.0,800.0,100.0,0.3,120.0,0.4,6,9,0.4999,1.3169,58.29,624.32,15
8.0,6.0,800.0,250.0,0.3,120.0,0.4,6,9,0.4999,1.3169,58.29,624.32,15
8.0,6.0,800.0,100.0,0.3,80.0,0.4,6,9,0.5013,1.3089,58.29,625.65,15
8.0,6.0,800.0,250.0,0.3,80.0,0.4,6,9,0.5013,1.3089,58.29,625.65,15
10.0,2.0,800.0,100.0,0.3,200.0,0.4,6,9,0.5455,1.3385,38.49,293.65,15
10.0,2.0,800.0,250.0,0.3,200.0,0.4,6,9,0.5455,1.3385,38.49,293.65,15
10.0,2.0,800.0,100.0,0.3,120.0,0.4,6,9,0.5468,1.3171,39.82,293.65,15
10.0,2.0,800.0,250.0,0.3,120.0,0.4,6,9,0.5468,1.3171,39.82,293.65,15
10.0,2.0,800.0,100.0,0.3,80.0,0.4,6,9,0.5481,1.3358,41.15,293.65,15
10.0,2.0,800.0,250.0,0.3,80.0,0.4,6,9,0.5481,1.3358,41.15,293.65,15
10.0,2.0,800.0,100.0,1.0,200.0,0.4,6,9,0.5503,1.2126,43.27,293.65,15
10.0,2.0,800.0,250.0,1.0,200.0,0.4,6,9,0.5503,1.2126,43.27,293.65,15
6.0,4.0,300.0,100.0,0.3,120.0,0.4,6,9,0.5551,1.0655,362.81,1098.63,15
6.0,4.0,300.0,250.0,0.3,120.0,0.4,6,9,0.5551,1.0655,362.81,1098.63,15
10.0,2.0,800.0,100.0,1.0,120.0,0.4,6,9,0.5559,0.8862,48.87,293.65,15
10.0,2.0,800.0,250.0,1.0,120.0,0.4,6,9,0.5559,0.8862,48.87,293.65,15
10.0,4.0,800.0,100.0,0.3,200.0,0.4,6,9,0.5575,1.3238,38.49,358.99,15
10.0,4.0,800.0,250.0,0.3,200.0,0.4,6,9,0.5575,1.3238,38.49,358.99,15
10.0,4.0,800.0,100.0,1.0,120.0,0.4,6,9,0.5652,0.8409,48.87,357.65,15
10.0,4.0,800.0,250.0,1.0,120.0,0.4,6,9,0.5652,0.8409,48.87,357.65,15
12.0,2.0,800.0,100.0,1.0,200.0,0.4,6,9,0.5772,0.8755,70.21,293.65,15
12.0,2.0,800.0,250.0,1.0,200.0,0.4,6,9,0.5772,0.8755,70.21,293.65,15
10.0,4.0,800.0,100.0,0.3,120.0,0.4,6,9,0.5815,1.2838,39.82,358.99,15
10.0,4.0,800.0,250.0,0.3,120.0,0.4,6,9,0.5815,1.2838,39.82,358.99,15
10.0,4.0,800.0,100.0,0.3,80.0,0.4,6,9,0.5828,1.2905,41.15,358.99,15
10.0,4.0,800.0,250.0,0.3,80.0,0.4,6,9,0.5828,1.2905,41.15,358.99,15
6.0,6.0,500.0,100.0,0.3,200.0,0.4,6,9,0.5835,1.1578,56.31,1265.3,15
6.0,6.0,500.0,250.0,0.3,200.0,0.4,6,9,0.5835,1.1578,56.31,1265.3,15
12.0,4.0,800.0,100.0,1.0,200.0,0.4,6,9,0.6185,0.8382,70.21,357.65,15
12.0,4.0,800.0,250.0,1.0,200.0,0.4,6,9,0.6185,0.8382,70.21,357.65,15
8.0,4.0,300.0,100.0,0.3,80.0,0.4,6,9,0.6579,0.9015,372.14,1106.63,15
8.0,4.0,300.0,250.0,0.3,80.0,0.4,6,9,0.6579,0.9015,372.14,1106.63,15
6.0,4.0,300.0,100.0,1.0,80.0,0.4,6,9,0.6684,0.7707,117.14,1699.31,15
6.0,4.0,300.0,100.0,1.0,120.0,0.4,6,9,0.6684,0.7641,117.14,1699.31,15
6.0,4.0,300.0,250.0,1.0,80.0,0.4,6,9,0.6684,0.7707,117.14,1699.31,15
6.0,4.0,300.0,250.0,1.0,120.0,0.4,6,9,0.6684,0.7641,117.14,1699.31,15
6.0,6.0,300.0,100.0,0.3,200.0,0.4,6,9,0.6748,0.9291,362.81,1509.97,15
6.0,6.0,300.0,250.0,0.3,200.0,0.4,6,9,0.6748,0.9291,362.81,1509.97,15
8.0,6.0,500.0,100.0,0.3,200.0,0.4,6,9,0.7035,1.0432,16.51,1327.97,15
8.0,6.0,500.0,250.0,0.3,200.0,0.4,6,9,0.7035,1.0432,16.51,1327.97,15
8.0,4.0,300.0,100.0,1.0,120.0,0.4,6,9,0.7891,0.7168,125.14,1700.64,15
8.0,4.0,300.0,250.0,1.0,120.0,0.4,6,9,0.7891,0.7168,125.14,1700.64,15
10.0,6.0,800.0,100.0,0.3,200.0,0.4,6,9,0.8001,1.2585,38.49,762.79,15
10.0,6.0,800.0,250.0,0.3,200.0,0.4,6,9,0.8001,1.2585,38.49,762.79,15
12.0,6.0,800.0,100.0,1.0,200.0,0.4,6,9,0.809,0.7767,70.21,548.12,15
12.0,6.0,800.0,250.0,1.0,200.0,0.4,6,9,0.809,0.7767,70.21,548.12,15
10.0,6.0,800.0,100.0,0.3,120.0,0.4,6,9,0.8241,1.2225,39.82,762.79,15
10.0,6.0,800.0,250.0,0.3,120.0,0.4,6,9,0.8241,1.2225,39.82,762.79,15
10.0,6.0,800.0,100.0,0.3,80.0,0.4,6,9,0.8255,1.2371,41.15,762.79,15
10.0,6.0,800.0,250.0,0.3,80.0,0.4,6,9,0.8255,1.2371,41.15,762.79,15
10.0,2.0,500.0,100.0,1.0,80.0,0.4,6,9,0.8392,0.5975,45.56,965.1,15
10.0,2.0,500.0,250.0,1.0,80.0,0.4,6,9,0.8392,0.5975,45.56,965.1,15
8.0,6.0,300.0,100.0,0.3,200.0,0.4,6,9,0.8788,0.8344,650.81,1372.64,15
8.0,6.0,300.0,250.0,0.3,200.0,0.4,6,9,0.8788,0.8344,650.81,1372.64,15
10.0,4.0,500.0,100.0,1.0,80.0,0.4,6,9,0.8805,0.5495,45.56,1182.43,15
10.0,4.0,500.0,250.0,1.0,80.0,0.4,6,9,0.8805,0.5495,45.56,1182.43,15
10.0,2.0,300.0,100.0,1.0,80.0,0.4,6,9,0.956,0.4437,45.56,1559.77,15
