open_margin_db,close_margin_db,release_ms,hold_ms,window_sec,percentile,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
10.0,4.0,800.0,250.0,1.0,35.0,0.3333,5,10,0.4602,1.2425,24.6,646.22,15
8.0,6.0,800.0,100.0,2.0,25.0,0.3333,5,10,0.4606,1.2136,17.93,442.65,15
8.0,6.0,800.0,250.0,2.0,25.0,0.3333,5,10,0.4606,1.2136,17.93,442.65,15
10.0,2.0,500.0,100.0,1.0,35.0,0.3333,5,10,0.4638,1.1248,69.73,998.97,15
10.0,2.0,500.0,250.0,1.0,35.0,0.3333,5,10,0.4638,1.1248,69.73,998.97,15
10.0,6.0,800.0,100.0,1.0,25.0,0.3333,5,10,0.4658,1.2868,19.6,446.22,15
10.0,6.0,800.0,250.0,1.0,25.0,0.3333,5,10,0.4658,1.2868,19.6,446.22,15
10.0,6.0,800.0,100.0,2.0,25.0,0.3333,5,10,0.4659,1.1456,23.27,442.65,15
10.0,6.0,800.0,250.0,2.0,25.0,0.3333,5,10,0.4659,1.1456,23.27,442.65,15
6.0,4.0,300.0,100.0,4.0,15.0,0.3333,5,10,0.4705,1.3995,63.34,1306.63,15
6.0,4.0,300.0,250.0,4.0,15.0,0.3333,5,10,0.4705,1.3995,63.34,1306.63,15
8.0,4.0,300.0,100.0,4.0,15.0,0.3333,5,10,0.4771,1.3741,68.67,1306.63,15
8.0,4.0,300.0,250.0,4.0,15.0,0.3333,5,10,0.4771,1.3741,68.67,1306.63,15
8.0,6.0,800.0,100.0,4.0,35.0,0.3333,5,10,0.4879,1.2182,35.36,775.19,15
8.0,6.0,800.0,250.0,4.0,35.0,0.3333,5,10,0.4879,1.2182,35.36,775.19,15
10.0,4.0,300.0,100.0,4.0,15.0,0.3333,5,10,0.4905,1.3021,79.34,1306.63,15
10.0,4.0,300.0,250.0,4.0,15.0,0.3333,5,10,0.4905,1.3021,79.34,1306.63,15
12.0,2.0,800.0,100.0,1.0,25.0,0.3333,5,10,0.5075,1.5619,33.21,260.99,15
12.0,2.0,800.0,250.0,1.0,25.0,0.3333,5,10,0.5075,1.5619,33.21,260.99,15
12.0,4.0,800.0,100.0,1.0,25.0,0.3333,5,10,0.5075,1.4059,33.21,260.99,15
12.0,4.0,800.0,250.0,1.0,25.0,0.3333,5,10,0.5075,1.4059,33.21,260.99,15
12.0,2.0,500.0,100.0,1.0,25.0,0.3333,5,10,0.5115,1.1712,33.21,425.65,15
12.0,2.0,500.0,250.0,1.0,25.0,0.3333,5,10,0.5115,1.1712,33.21,425.65,15
6.0,4.0,500.0,100.0,4.0,35.0,0.3333,5,10,0.5239,1.1395,23.36,1481.3,15
6.0,4.0,500.0,250.0,4.0,35.0,0.3333,5,10,0.5239,1.1395,23.36,1481.3,15
6.0,2.0,300.0,100.0,4.0,35.0,0.3333,5,10,0.5482,1.0612,676.05,1047.54,15
